Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-149.74446	72.77713	-26.791079	-214.44594	1000.0	-14.9188	7.387142	-1.451216	-26.918957	108000	1.9073487e-09	0.11112673	-0.00592167	-0.031947047	6.9219103	0.021083115	0.277	16.0	142.43334460258484
27	-111.38658	16.274893	-99.14366	-139.23927	1000.0	-11.093154	1.7016588	-8.92245	-15.878257	112000	1.525879e-08	0.080723815	-0.013584567	-0.02731635	6.872419	0.014015265	0.157	79.0	147.68355512619019
28	-102.55444	86.33607	-25.255356	-234.57253	1000.0	-10.2002735	8.7101555	-0.8202282	-27.894518	116000	-1.0490417e-08	0.13294168	-0.017037803	-0.046842203	6.8814654	0.011129023	0.189	79.0	153.05278372764587
29	-133.36641	34.263477	-75.32596	-158.59154	1000.0	-13.2636175	3.4035664	-5.950405	-22.63525	120000	-1.525879e-08	0.16811581	-0.0061101075	-0.054406866	6.777206	0.014683993	0.1845	3.0	158.2190351486206
30	-122.762184	58.8169	-47.12486	-184.30402	1000.0	-12.202369	5.8414955	-3.991197	-24.779066	124000	3.8146974e-09	0.11422329	-0.0018311081	-0.050981797	6.8657093	0.017666453	0.14775	3.0	163.58234238624573
31	-186.93216	112.55575	4.0486894	-285.33066	918.25	-19.072828	10.046763	1.7297071	-29.232082	128000	5.722046e-09	1.107153	-0.0046702763	-0.8080432	6.8180666	0.027547073	0.32275	4.0	168.49946808815002
32	-91.52591	50.441788	-38.96771	-166.29433	1000.0	-7.724995	4.2756095	-1.6629192	-16.18947	132000	-7.2479246e-08	2.5492203	-0.0132735325	-2.3401694	6.852354	0.008399099	0.08175	79.0	173.81182408332825
33	-77.82373	78.21398	4.2888985	-195.01543	917.75	-8.536526	7.818141	5.0679207	-26.255095	136000	3.0994416e-09	0.93658227	-0.016931424	-0.7191853	6.937619	0.009891981	0.1645	79.0	179.04695415496826
34	-119.997665	52.10853	-49.3748	-175.14076	1000.0	-12.117627	4.908776	-4.1513486	-20.457363	140000	-1.07288365e-08	0.30016467	-0.016549837	-0.24629769	6.9195213	0.010422055	0.16675	79.0	184.37770748138428
35	-161.646	76.02442	-88.36672	-269.87305	1000.0	-16.110981	7.569768	-4.476379	-29.77439	144000	2.861023e-09	0.3926197	-0.011123423	-0.1957417	6.8742824	0.013725765	0.13875	18.0	189.45148468017578
36	-171.84859	112.05221	8.23837	-282.042	789.0	-20.625317	5.0983725	-1.2913599	-27.84332	148000	2.8610229e-08	4.6213	-0.0034464102	-4.257476	6.9115996	0.0071489583	0.07725	2.0	194.31698513031006
37	-136.96619	91.15823	-46.697075	-262.21912	1000.0	-13.642283	8.964368	-4.155169	-28.436796	152000	-1.2397766e-08	0.13332698	-0.009510342	-0.06453565	6.8533945	0.014378626	0.1645	49.0	199.66174745559692
38	-79.07121	22.281506	-48.00994	-106.95482	1000.0	-6.740161	2.360368	-2.3141375	-15.974091	156000	-4.5776368e-08	2.8229136	-0.012906946	-2.554163	6.881058	0.0043416834	0.10825	79.0	204.9507622718811
39	-100.262634	49.62736	-15.698577	-137.40764	1000.0	-8.4601345	7.1628284	7.003105	-18.689842	160000	1.7166137e-08	7.7609124	-0.015287622	-7.5664163	7.0202513	0.004345105	0.114	79.0	210.25177812576294
40	-129.50789	83.28911	-35.306427	-231.1725	1000.0	-12.896108	7.9501033	-3.1655579	-28.7428	164000	1.525879e-08	0.48943397	-0.01203805	-0.27228093	6.908721	0.012240954	0.1405	28.0	215.8404359817505
41	-97.84182	35.5469	-65.15144	-157.5369	1000.0	-9.641414	3.5627508	-4.248173	-19.573582	168000	-8.5830685e-09	0.12848221	-0.012517309	-0.030560255	6.900833	0.01588847	0.18025	79.0	221.14683437347412
42	-144.58923	54.299973	-93.99422	-235.38387	1000.0	-14.455895	5.4673305	-5.784702	-27.700878	172000	3.8146974e-09	0.38161975	-0.0054743765	-0.18349023	6.858808	0.015618398	0.164	2.0	226.1584188938141
43	-95.5219	92.34362	8.676881	-222.61931	682.2	-13.12831	6.712238	1.8518292	-29.63023	176000	-1.525879e-08	3.733821	-0.008040337	-2.9107614	6.9021916	0.016063988	0.208	16.0	231.0806131362915
44	-155.77415	66.00709	-80.439255	-248.88084	1000.0	-14.809144	6.7580585	-5.0520277	-25.216568	180000	-6.67572e-08	0.5190268	-0.00892453	-0.43529058	6.8906064	0.0052992213	0.0745	79.0	236.6375744342804
45	-157.01675	87.4453	-47.648304	-252.13666	1000.0	-15.936391	9.007225	-3.7815025	-28.44037	184000	-5.3405763e-08	0.2927261	-0.0031465837	-0.1710394	6.8281884	0.011076722	0.19275	5.0	241.67079091072083
46	-89.19827	40.71555	-47.29694	-141.65672	1000.0	-8.699062	4.4891877	0.7925384	-17.836563	188000	-2.2888184e-08	0.6520689	-0.017982788	-0.45706528	6.8965273	0.008921594	0.128	79.0	247.02220106124878
47	-89.01509	50.103016	-11.856163	-151.96788	1000.0	-8.372543	5.849687	5.0748076	-21.862041	192000	-2.002716e-08	0.980455	-0.015420986	-0.81551754	6.855879	0.007615486	0.127	79.0	252.33321404457092
48	-149.99057	74.96194	-52.39976	-248.84883	1000.0	-14.874269	7.336531	-4.1145215	-27.165936	196000	2.7656554e-08	0.8179777	-0.0078373095	-0.64417	6.9173584	0.0090820445	0.05675	10.0	257.47447323799133
49	-139.00443	42.87225	-80.70607	-183.33488	1000.0	-13.220087	4.268402	-4.5696855	-26.715935	200000	8.5830685e-09	1.3559382	-0.0128965005	-1.146792	6.8255606	0.008134242	0.114	79.0	262.79812812805176
50	-130.61699	113.76062	8.112246	-256.04105	707.2	-17.373865	8.2577715	5.3568926	-26.24554	204000	7.152557e-09	2.278285	-0.02046423	-2.181296	6.825285	0.0061472203	0.129	79.0	268.3992760181427
51	-130.98584	20.394762	-116.932945	-166.06409	1000.0	-8.866916	5.920544	0.79285085	-18.881771	208000	3.552437e-08	30.775543	-0.011163953	-29.711866	6.8816605	0.0068310015	0.095	79.0	273.72520089149475
52	-83.45521	64.234825	-13.719277	-186.4964	1000.0	-8.085228	5.8981004	-0.52603436	-23.656225	212000	-3.6239623e-08	0.45373207	-0.016739834	-0.2897529	6.7739916	0.0057913032	0.1085	79.0	279.26126503944397
53	-75.49598	29.663752	-28.634413	-108.50875	1000.0	-7.371677	2.847643	-1.7681172	-15.418817	216000	-7.629395e-09	0.15510353	-0.017870082	-0.05550982	6.7950497	0.008987037	0.12575	79.0	284.6457781791687
54	-145.48439	91.48852	6.774385	-222.39738	789.75	-14.802482	6.9870954	1.7548001	-25.24997	220000	-1.9073487e-09	3.1991007	-0.017567953	-2.6707306	6.825505	0.009390638	0.11125	79.0	289.94299125671387
55	-112.40316	87.22657	-31.16664	-256.8404	1000.0	-11.005933	8.656674	-1.3257978	-28.437572	224000	-1.9073487e-09	0.08580662	-0.013088108	-0.04671307	6.7457294	0.009596778	0.123	79.0	295.40190529823303
56	-175.30055	100.158	-51.143963	-278.726	1000.0	-14.146804	13.075871	6.9128156	-28.716963	228000	-9.346008e-08	21.38934	-0.018606856	-20.921417	6.848302	0.009482868	0.111	79.0	300.7445104122162
57	-100.769104	83.412186	8.055116	-211.42134	861.0	-9.916432	7.1836596	4.70022	-25.942646	232000	-2.8610229e-08	2.452977	-0.015433665	-2.0680225	6.787073	0.010027712	0.09825	79.0	305.9737627506256
58	-66.090576	60.019344	7.4359875	-126.32161	663.4	-9.897773	3.0612571	1.713891	-18.090105	236000	-1.525879e-08	4.296566	-0.0043536355	-3.7139418	6.693225	0.017951887	0.204	6.0	311.3233585357666
59	-80.52461	87.60577	9.758034	-213.36458	673.0	-11.639205	8.547649	11.976453	-28.419498	240000	-1.9073487e-09	2.2610416	-0.018911578	-1.6085553	6.738686	0.014958929	0.1875	41.0	316.98417568206787
60	-75.11298	85.0822	9.7692995	-175.19232	579.5	-12.6569395	6.421519	7.495391	-26.277626	244000	-3.8146974e-09	1.6387023	-0.004976753	-1.0725689	6.81526	0.016952282	0.204	3.0	323.1293914318085
61	-106.083305	80.16943	6.802929	-198.18001	789.25	-10.6164465	7.828104	4.6636405	-26.378714	248000	-3.71933e-08	2.6040847	-0.008011836	-2.2044914	6.7829137	0.016475718	0.18325	7.0	328.05212116241455
62	-70.507126	80.42204	8.847011	-211.95497	661.4	-9.162051	7.6900663	8.847175	-24.54856	252000	0.0	0.45711753	-0.021512363	-0.27999055	6.794193	0.011107139	0.159	79.0	333.224915266037
63	-110.46039	73.862755	4.8781233	-179.94351	812.25	-11.399496	6.822735	4.5915403	-19.787243	256000	2.6702882e-08	2.4106255	-0.023539957	-2.2359972	6.7830534	0.009156394	0.1035	79.0	338.4468297958374
64	-67.40537	56.37217	6.5663447	-152.07063	864.25	-4.60202	5.091509	8.878649	-11.272509	260000	1.8119811e-08	13.086294	-0.0044927504	-12.050733	6.7425766	0.012591432	0.12975	2.0	343.21712493896484
65	-87.59091	53.35671	-30.368666	-170.11888	1000.0	-9.01856	5.8596177	-2.0030472	-29.38687	264000	3.6239623e-08	0.5148127	-0.0060602226	-0.37345895	6.6719117	0.015374311	0.20075	13.0	348.2817234992981
66	-115.12631	39.18532	-66.5931	-154.74634	1000.0	-11.154168	4.0422206	-1.4635594	-22.013773	268000	2.2888184e-08	0.47075424	-0.0052403677	-0.116386265	6.748839	0.020767478	0.2475	5.0	353.2917227745056
67	-97.601715	74.33702	-14.6734705	-177.82143	1000.0	-9.207225	7.940483	2.1816735	-26.551386	272000	1.3351441e-08	0.9217103	-0.019291319	-0.6476395	6.685064	0.011379327	0.1365	79.0	358.5986907482147
68	-84.66313	84.59553	7.3431563	-191.24622	718.0	-11.419369	6.88003	2.8361077	-20.408064	276000	-3.051758e-08	3.332984	-0.011870197	-2.935993	6.672982	0.01772398	0.18	18.0	363.4895989894867
69	-103.29256	76.87125	-47.51443	-235.81659	1000.0	-9.487931	8.212216	3.7526603	-26.56476	280000	2.002716e-08	2.7344306	-0.020384952	-2.5160298	6.7251606	0.005493846	0.124	79.0	369.0020112991333
70	-112.65747	69.29083	-0.86700153	-173.07837	987.25	-10.561673	8.1718025	8.580942	-26.737516	284000	3.6239623e-08	3.587772	-0.01779174	-3.197029	6.7552514	0.006554935	0.117	79.0	374.6331470012665
71	-70.62724	76.555756	5.236261	-198.38715	790.75	-9.229502	6.2771306	-2.0377164	-22.416262	288000	7.629395e-09	3.1707234	-0.010879402	-2.9293222	6.6499405	0.016467454	0.12975	16.0	379.5093173980713
72	-28.124908	5.2789764	-22.269333	-35.746822	986.0	-0.5684403	1.7109431	5.9148817	-6.100271	292000	-4.9591065e-08	9.74392	-0.02017841	-9.407768	6.624825	0.009056301	0.15	79.0	384.97914814949036
73	-83.83754	101.286285	7.4833326	-245.9678	674.0	-13.06774	8.706365	5.287222	-28.29589	296000	1.9073487e-09	2.1317818	-0.016977377	-1.775648	6.6054535	0.0068145446	0.12425	79.0	390.211731672287
74	-109.18822	80.92547	-0.59383625	-222.11227	807.0	-14.895808	6.5225663	1.4878248	-24.58538	300000	-1.9073487e-09	2.5214214	-0.005299013	-2.0570111	6.590141	0.017603958	0.18875	4.0	395.09707283973694
75	-124.27597	92.46415	-32.342327	-269.82452	1000.0	-11.178377	10.483923	5.399566	-28.59382	304000	-2.3841857e-09	5.3930936	-0.015349139	-5.2759876	6.575908	0.009652181	0.117	30.0	400.11948442459106
76	-92.823456	71.56236	9.162142	-191.15065	787.75	-6.352184	3.002741	6.0446935	-13.32247	308000	-2.2888184e-08	23.640072	-0.0018934974	-22.226257	6.569364	0.015087203	0.1725	10.0	404.96939730644226
77	-54.756535	75.65204	8.975434	-173.37889	548.7143	-8.914658	7.901136	8.543256	-21.856482	312000	2.2888184e-08	5.205146	0.008941898	-3.9153335	6.598714	0.042384524	0.325	1.0	409.78548431396484
78	-51.176483	33.557693	-23.341255	-106.53636	1000.0	-4.2044425	4.060209	4.044195	-12.336233	316000	-2.8610229e-08	2.3433444	-0.01781921	-2.1807597	6.62493	0.0062280316	0.1365	79.0	415.144859790802
79	-163.5028	74.05601	-87.522415	-238.16954	1000.0	-15.740549	7.1568885	-1.0037997	-26.73762	320000	-5.722046e-09	0.7870329	-0.0071062567	-0.6479252	6.618838	0.026981719	0.28625	2.0	420.1287717819214
80	-123.55699	67.13832	-47.450283	-204.92274	1000.0	-12.524276	6.8338695	-0.64519256	-27.639635	324000	-7.629395e-09	1.2263454	-0.019300347	-0.85819143	6.5492673	0.0072143083	0.12075	79.0	425.9093997478485
81	-44.326324	62.40176	6.6891017	-163.69342	599.8333	-7.989426	5.903734	4.950529	-18.855038	328000	2.2888184e-08	2.0522661	-0.018111398	-1.8333963	6.4757376	0.009812256	0.10875	79.0	431.1420464515686
