Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-128.09734	123.93433	-9.730258	-346.85556	1000.0	-12.761794	12.5932045	0.42453042	-42.322372	135000	-3.6621095e-08	0.3942836	-0.008924024	-0.17326328	7.269994	0.0059739123	0.0938	79.0	168.75457501411438
27	-138.21313	53.526554	-68.13878	-201.13019	1000.0	-13.922744	5.4721327	-4.054503	-23.902632	140000	1.2207031e-08	0.122457825	-0.011454933	-0.03601505	7.241718	0.015217514	0.1692	30.0	174.84439849853516
28	-220.61636	78.44374	-97.82201	-337.06754	1000.0	-22.203754	7.9336896	-9.061243	-37.31427	145000	-3.967285e-08	0.15884773	-0.0070698396	-0.029274762	7.131389	0.012679436	0.1874	3.0	180.94902873039246
29	-227.50174	98.5366	-84.80074	-336.087	1000.0	-22.865898	9.953588	-7.001815	-38.071026	150000	3.967285e-08	0.17429619	-0.010237461	-0.03248185	7.1178627	0.01136956	0.144	79.0	187.19893050193787
30	-202.11812	126.90861	-42.972733	-330.81946	1000.0	-20.30523	12.787784	-4.0225816	-37.974907	155000	1.0681152e-08	0.14581059	-0.00945424	-0.004568815	7.119075	0.008312205	0.1264	79.0	193.6997492313385
31	-113.57229	38.775238	-51.80659	-168.30135	1000.0	-11.415711	3.899534	-4.933242	-17.52782	160000	3.0517577e-09	0.04195907	-0.0054436647	-0.01204939	7.056691	0.019689433	0.2356	4.0	199.61034059524536
32	-161.68848	85.91341	-29.861782	-285.47455	1000.0	-16.133059	8.606681	-2.609682	-28.715624	165000	-1.2207031e-08	0.017063485	-0.012905556	-0.004065316	7.080478	0.008420736	0.1502	79.0	205.7982804775238
33	-160.78517	96.05835	-68.821396	-324.9789	1000.0	-16.0403	9.559346	-5.8957067	-37.246788	170000	-4.348755e-08	0.0867097	-0.011272733	-0.008292973	7.097525	0.008475849	0.1432	79.0	212.00072169303894
34	-188.5489	65.19191	-99.807014	-290.1095	1000.0	-18.862158	6.53566	-9.478729	-30.909977	175000	-3.967285e-08	0.01985575	-0.012610832	-0.004775067	7.1045814	0.007390131	0.1436	79.0	218.395161151886
35	-154.96118	107.9625	-22.81946	-317.612	1000.0	-15.454812	10.786356	-1.913515	-34.13803	180000	-6.2561035e-08	0.03020963	-0.012178496	-0.0027895682	7.1005588	0.011383965	0.1506	79.0	224.63468194007874
36	-171.47762	58.97434	-101.12838	-261.37857	1000.0	-17.134611	5.890461	-9.872955	-26.30168	185000	-1.2207031e-08	0.0037363407	-0.0024515719	-0.0009920758	7.0631304	0.01180999	0.173	1.0	230.54297709465027
37	-169.73953	108.74291	-47.79272	-307.1034	1000.0	-16.96136	10.875495	-3.3629897	-34.06647	190000	4.577637e-09	0.05050483	-0.0010750137	-0.0029258803	7.0856943	0.018794069	0.2522	2.0	236.50636553764343
38	-162.42406	42.37099	-98.94708	-224.0291	1000.0	-16.22504	4.2541738	-9.360596	-23.298162	195000	2.746582e-08	0.00836474	-0.0050337524	-0.0023582405	7.0968547	0.026365539	0.3708	3.0	242.42239952087402
39	-133.39485	112.09151	-9.732188	-300.76193	1000.0	-13.279488	11.228636	0.0027859062	-32.824352	200000	-6.1035155e-09	0.042606257	-0.0030257553	-0.011132933	7.1280365	0.014651707	0.1922	3.0	248.38218307495117
40	-209.62015	51.754505	-142.05092	-268.3832	1000.0	-21.06566	5.1726146	-14.076877	-27.051767	205000	-1.2207031e-08	0.020496227	-0.006924048	-0.013798328	7.0762258	0.018456634	0.2426	1.0	254.805650472641
41	-176.20767	91.80247	-17.320345	-270.44757	1000.0	-17.645365	9.156976	-1.2771987	-27.444351	210000	5.722046e-09	0.011144324	0.005088899	-0.0014183111	7.11648	0.036647066	0.3394	1.0	260.7622263431549
42	-167.06287	62.55131	-71.6409	-268.02515	1000.0	-16.72375	6.251715	-6.0456257	-27.041716	215000	-4.577637e-09	0.022235317	-0.001881369	-0.0018247403	7.081186	0.021060843	0.2804	3.0	266.83714962005615
43	-109.53152	83.4492	-11.073	-256.8451	1000.0	-10.957582	8.3758545	-0.5459052	-26.011156	220000	-4.577637e-09	0.015885504	-0.015908401	-0.0032865433	7.108975	0.0108472835	0.16	79.0	273.06491589546204
44	-167.96011	79.45967	-42.368374	-266.68393	1000.0	-16.832407	7.9565372	-3.440651	-27.039968	225000	0.0	0.0077731614	-0.004335106	-0.00095962593	6.994924	0.013732904	0.1816	2.0	279.0168628692627
45	-92.27168	75.27965	-21.38857	-230.59872	1000.0	-9.266997	7.5278325	-1.8021215	-23.259096	230000	1.9073487e-09	0.036600813	-0.0020377361	-0.004819449	6.9941673	0.022137552	0.245	6.0	285.4813759326935
46	-219.85477	87.71591	-59.629787	-291.0054	1000.0	-21.90281	8.800936	-5.551679	-29.318497	235000	-3.0517577e-09	0.07297504	-0.0080477325	-0.009178996	7.0265517	0.017628253	0.2482	7.0	292.45277547836304
47	-137.95578	93.35429	9.702701	-230.90916	828.8	-14.521881	7.9809337	0.23328336	-26.00298	240000	-3.8146974e-09	1.0124083	-0.0021829226	-0.844539	7.029457	0.019272434	0.2102	3.0	298.68920373916626
48	-132.3719	53.41406	-90.32391	-232.70782	1000.0	-13.219685	5.3894916	-8.00623	-24.024523	245000	-3.0517577e-09	0.04164148	-0.009626773	-0.012640761	7.036229	0.0092636775	0.1232	79.0	304.8331286907196
49	-104.14259	68.835815	8.916425	-180.8086	857.6	-14.150222	7.465251	4.6416974	-27.029688	250000	0.0	0.3830586	-0.012475253	-0.10049763	6.992383	0.011829123	0.1356	79.0	310.7724587917328
50	-122.72483	100.75272	9.772698	-242.68092	828.0	-13.166965	9.140884	6.646796	-28.818916	255000	7.629395e-09	0.2809371	-0.004596179	-0.12266916	6.94177	0.013651921	0.2062	5.0	316.82264399528503
51	-168.36386	59.875233	-99.202835	-246.62436	1000.0	-16.732208	5.882304	-8.491808	-26.641695	260000	3.1661987e-08	0.11866301	-0.004615306	-0.022311501	6.9433093	0.011406547	0.1742	3.0	322.7467737197876
52	-112.32182	71.162285	-47.746384	-231.99042	1000.0	-11.303197	7.0574217	-4.1336694	-24.833996	265000	-2.746582e-08	0.06613742	-0.005113501	-0.009574041	6.952311	0.018259574	0.2222	10.0	328.8706705570221
53	-85.00181	43.329906	-17.242512	-149.84045	1000.0	-8.292781	4.7516656	0.36671633	-18.978163	270000	1.5258789e-09	0.30779064	-0.009672322	-0.23660868	6.9302626	0.0028723816	0.0856	79.0	335.10898780822754
54	-132.30322	52.144924	-71.749985	-198.71951	1000.0	-13.206691	5.16533	-6.012825	-24.030827	275000	-9.918213e-09	0.081017174	-0.00840164	-0.023682732	6.898566	0.015701475	0.1364	14.0	341.0712673664093
55	-98.620926	81.07385	9.427274	-207.46356	830.4	-11.752967	6.5796046	3.1482458	-27.87261	280000	3.0517577e-09	0.62495863	-0.012148495	-0.48285174	6.9313726	0.011013638	0.1396	79.0	347.0383563041687
56	-133.20853	61.460526	-50.593796	-202.10722	1000.0	-13.322048	6.1046762	-4.973494	-22.909061	285000	2.4414062e-08	0.048387416	-0.0085885	-0.005393304	6.9228344	0.00815632	0.149	79.0	353.2561733722687
57	-92.8937	91.00113	8.618986	-208.01772	865.0	-10.105342	8.685366	8.34105	-26.20313	290000	-3.8146974e-09	1.1184875	-0.015784962	-0.78788584	6.8384256	0.010159818	0.1324	79.0	359.2851572036743
58	-136.93735	71.59768	-51.474907	-233.85315	1000.0	-13.289212	6.902752	-2.9893417	-26.043625	295000	-1.525879e-08	0.36230975	-0.012059122	-0.15346427	6.7421756	0.009046844	0.1232	79.0	365.63142228126526
59	-124.78337	59.409794	-25.609898	-190.90703	1000.0	-12.015901	5.915261	-1.2746481	-26.637468	300000	-3.6621095e-08	0.49223965	-0.009833173	-0.26038575	6.837417	0.013862713	0.1374	79.0	371.84410786628723
60	-102.98584	81.11023	9.521573	-194.80261	843.0	-12.786826	6.9767065	6.2984443	-22.154291	305000	-9.155274e-09	0.4178111	-0.011961197	-0.26070225	6.7236695	0.007749022	0.0926	79.0	378.2390158176422
61	-62.176857	37.249676	-16.08267	-128.08217	1000.0	-6.0803356	3.676641	-0.55856985	-13.550623	310000	-2.5558471e-08	0.12434433	-0.01148663	-0.07513574	6.7733326	0.010204612	0.1072	79.0	384.39121770858765
62	-61.351276	62.096725	-3.6584501	-179.06964	987.8	-6.1721816	5.933689	2.6303582	-23.984997	315000	1.5258789e-09	0.9214473	-0.014098711	-0.7322127	6.841985	0.010095772	0.1596	79.0	390.3376441001892
63	-155.14864	88.98426	6.89332	-237.11877	854.0	-16.494392	6.8142395	8.159605	-28.94281	320000	-1.373291e-08	1.5263804	-0.014538201	-1.1173602	6.7851944	0.007996297	0.1092	79.0	396.330096244812
64	-144.17972	80.07287	-41.611782	-269.80765	1000.0	-14.192261	8.037645	-2.4590633	-28.63671	325000	-7.629395e-09	0.24046646	-0.012366087	-0.061231017	6.7846947	0.008579801	0.1066	79.0	402.5525336265564
65	-124.01205	94.908394	8.879587	-246.41875	839.8	-13.840399	6.9998364	9.285765	-23.401728	330000	3.3569336e-08	2.4214094	-0.0051160613	-2.2811534	6.8505063	0.0045789843	0.0752	10.0	408.52128553390503
66	-76.04563	78.567795	8.501435	-194.0581	810.6667	-9.0269375	8.111156	8.703137	-24.395264	335000	-2.4414062e-08	1.8648369	0.0029145386	-1.4595588	6.8097835	0.036420207	0.287	2.0	414.22253346443176
67	-60.581543	35.18055	-9.896552	-102.4349	1000.0	-5.0088716	4.4695773	5.123861	-12.135902	340000	-1.525879e-08	2.3961842	-0.013521894	-2.1734905	6.8030562	0.0080846315	0.0946	79.0	420.4362139701843
68	-147.57286	104.49187	6.1625896	-258.14413	849.6	-17.674866	7.992595	0.8818177	-27.228405	345000	-1.4877319e-08	1.2305133	-0.01140783	-0.95067656	6.799041	0.013882242	0.1496	79.0	426.4144241809845
69	-97.015144	65.8865	-15.457883	-204.84145	1000.0	-8.6691675	7.760412	6.2590084	-28.000814	350000	-7.93457e-08	3.8428586	-0.0136015415	-3.5460916	6.7733884	0.009397454	0.1302	79.0	432.61125445365906
70	-127.016495	55.569656	-73.00315	-229.89264	1000.0	-12.453035	5.3933644	-6.64736	-23.306164	355000	4.2724608e-08	0.21161096	-0.011445618	-0.07911548	6.725306	0.009394551	0.1174	79.0	439.10538601875305
71	-104.678024	68.828125	-24.972727	-226.73773	1000.0	-10.316319	6.929706	-1.7699902	-22.91553	360000	0.0	0.1271823	-0.0113929445	-0.055667855	6.742736	0.012531704	0.1392	79.0	445.52450609207153
72	-87.500175	65.82345	6.7894697	-157.04439	914.0	-9.766819	5.935914	3.6466253	-20.97394	365000	-6.1035155e-09	0.82513624	-0.015995724	-0.59912246	6.748617	0.009103869	0.1348	79.0	451.51930379867554
73	-68.838875	64.87534	8.594682	-147.78835	847.0	-7.185407	6.006174	0.7479296	-20.506088	370000	-2.1362304e-08	1.2906171	-0.010501974	-0.9497777	6.73354	0.011896032	0.1464	79.0	457.4787759780884
74	-138.98816	72.01908	-80.87985	-255.95876	1000.0	-13.622344	7.0698667	-5.4670277	-28.997152	375000	-2.746582e-08	0.493043	-0.013721032	-0.14065582	6.7609015	0.01208352	0.1328	79.0	463.63142824172974
75	-64.130516	38.700336	-14.381119	-132.2645	1000.0	-5.9646482	4.1153035	4.916654	-13.372972	380000	-1.2207031e-08	0.44324312	-0.007456268	-0.3232069	6.7566953	0.015546954	0.1908	9.0	469.59564900398254
76	-171.88799	19.969217	-142.27469	-199.54774	1000.0	-16.906603	2.2654238	-10.611093	-26.673717	385000	1.525879e-08	0.6731533	-0.013013046	-0.28132617	6.7543297	0.009914188	0.143	79.0	475.7734808921814
77	-63.717434	97.12439	9.367655	-257.97247	665.4286	-10.303752	9.899747	6.9606957	-28.485523	390000	-9.155274e-09	2.4543228	-0.016025558	-1.8952744	6.7608514	0.008463429	0.0994	79.0	481.6903383731842
78	-136.85095	50.164963	-75.89238	-187.29814	1000.0	-13.159951	5.1023364	-2.4546645	-27.805883	395000	-8.392334e-09	0.4462538	-0.012299732	-0.22067502	6.5894413	0.012501746	0.1294	79.0	488.11047530174255
79	-194.57367	35.82222	-144.67299	-246.24377	1000.0	-18.930138	3.7573597	-8.971022	-29.542158	400000	0.0	0.67821646	-0.013599939	-0.38082454	6.5758233	0.01296846	0.117	73.0	494.2364573478699
80	-35.912327	39.232487	8.267771	-103.41315	773.6667	-4.2353096	4.4009356	7.936738	-15.297146	405000	-1.373291e-08	2.880109	-0.013478874	-2.3181832	6.5162916	0.010197542	0.1128	79.0	500.6879663467407
81	-112.25041	73.6115	-18.267887	-243.6402	1000.0	-10.647686	6.897339	-1.3703831	-24.36941	410000	-1.525879e-08	0.50415957	-0.010288419	-0.4595747	6.498666	0.005357409	0.0888	79.0	506.7983675003052
82	-126.26094	87.794365	7.3977466	-209.1401	844.6	-15.134738	6.354973	1.5246353	-26.073002	415000	1.373291e-08	1.387849	-0.00941239	-1.1487771	6.4778104	0.016402263	0.2018	15.0	512.6605336666107
83	-214.41068	52.731804	-153.06497	-292.6687	1000.0	-21.260534	5.3431025	-14.722818	-29.86767	420000	-6.1035155e-09	0.046080943	0.0038306273	-0.02782657	6.447275	0.015547588	0.2858	15.0	518.6442582607269
84	-95.45913	78.13213	7.47595	-210.73917	831.8	-10.368645	7.1291213	6.429642	-25.987194	425000	-3.0517577e-09	0.89164436	0.0034099305	-0.40546012	6.4875994	0.024045927	0.2556	2.0	524.3633575439453
85	-127.26157	57.1583	-21.034182	-185.1956	1000.0	-11.841655	5.552645	2.473575	-20.11848	430000	-6.1035155e-09	0.98725295	-0.013390393	-0.7824219	6.538935	0.0064847656	0.0914	79.0	530.6757202148438
86	-80.10823	69.77187	-10.688785	-200.61012	970.6	-8.067941	7.3653636	4.957392	-22.629272	435000	-1.2207031e-08	2.278392	-0.01881018	-2.1804256	6.4684963	0.008087177	0.121	79.0	536.6580982208252
87	-171.72983	86.29642	-24.01962	-277.2515	1000.0	-17.143005	8.619388	-1.0042248	-28.134144	440000	0.0	0.026209418	-0.006767636	-0.0032143686	6.4628787	0.010153471	0.1604	13.0	542.5533001422882
88	-98.66041	95.96732	6.7585278	-246.02046	654.0	-13.368977	7.1843305	10.034678	-24.924236	445000	-5.1879884e-08	11.162733	-0.019575778	-9.878556	6.425588	0.009222328	0.1218	79.0	548.5434947013855
89	-90.03438	94.32575	5.529877	-260.01688	832.0	-12.94708	10.847944	6.7973022	-29.09219	450000	3.6621095e-08	2.7249784	-0.018831076	-2.521794	6.4017467	0.009253934	0.1482	79.0	554.6034581661224
90	-112.48462	45.336014	-54.86963	-189.42148	997.4	-9.1281395	6.822307	5.0646706	-26.835442	455000	-1.2207031e-08	11.07333	-0.01651753	-10.783763	6.4497013	0.012171954	0.1126	79.0	560.9330308437347
91	-106.7942	83.49677	7.507972	-195.14798	725.3333	-13.23857	5.697545	13.643667	-25.777899	460000	-1.2207031e-08	4.2356796	-0.016876627	-3.3532882	6.418882	0.012694748	0.1424	79.0	566.9149794578552
92	-98.76711	81.79148	7.1793966	-220.95288	826.0	-9.511302	6.9751496	3.6552484	-23.103025	465000	-1.5258789e-09	3.7665262	-0.016135322	-3.0047264	6.3879704	0.00836595	0.139	79.0	573.0158650875092
93	-152.51613	71.61768	-25.050085	-223.31871	1000.0	-14.0851345	7.0338492	8.39231	-22.294016	470000	-5.79834e-08	1.6871227	-0.013447938	-1.482382	6.271291	0.008246135	0.1368	79.0	579.1571407318115
94	-137.81711	65.48475	-60.130497	-256.43533	1000.0	-13.519871	6.5686555	-4.385031	-27.342897	475000	-9.918213e-09	0.4493894	-0.011357973	-0.23684892	6.2457814	0.0073399385	0.0898	79.0	585.2558345794678
95	-75.27057	74.28531	8.269108	-161.10985	731.3333	-9.403459	6.2658634	5.3676286	-25.795834	480000	-1.8310548e-08	2.7409203	-0.015462247	-2.0038307	6.092032	0.010476962	0.1426	79.0	591.3753080368042
96	-70.124596	85.986145	7.322067	-219.56891	725.6667	-8.950548	8.476606	11.619602	-23.517889	485000	-3.8146974e-09	1.1828465	-0.020174272	-0.89312583	6.171019	0.007175921	0.1408	79.0	597.3785195350647
97	-67.97008	91.66772	-9.083332	-250.54459	1000.0	-6.0436893	9.754873	8.084333	-26.649054	490000	-6.713867e-08	2.1801467	-0.019926617	-1.9810222	6.0687428	0.0074709	0.087	79.0	603.5162694454193
98	-173.60577	90.08043	3.080413	-245.65543	874.6	-20.407913	5.6959643	-0.6871085	-24.841196	495000	1.8310548e-08	1.3765787	-0.0026910156	-1.2597702	6.091306	0.011373982	0.1332	3.0	609.2631025314331
99	-124.78719	45.990696	-82.33295	-189.79485	1000.0	-10.914733	6.1591225	0.7098798	-23.966518	500000	-2.4414062e-08	3.3326964	-0.01059743	-3.026126	6.0793767	0.010322304	0.0708	10.0	615.4697871208191
100	-105.54098	59.09574	-43.463577	-187.71931	1000.0	-9.634641	5.8378763	5.720714	-25.820011	505000	-4.8828124e-08	1.0749016	-0.015093411	-0.65355897	6.0781713	0.012081017	0.1344	79.0	622.0566091537476
101	-119.907555	44.510475	-57.318577	-163.44913	1000.0	-11.375419	4.7843137	4.66943	-25.291668	510000	-1.6784668e-08	1.1923169	-0.013283653	-0.89057803	6.097651	0.009137586	0.1312	79.0	628.3025999069214
102	-129.71172	84.75064	6.8578596	-237.79831	843.6	-12.683961	6.7592263	3.7636075	-26.138363	515000	-2.1362304e-08	3.184748	-0.0027396576	-2.6917956	6.010106	0.018732302	0.2292	2.0	634.0770330429077
103	-82.604515	36.124004	-12.331019	-113.39923	1000.0	-6.7748475	3.5835662	2.739504	-19.579844	520000	3.2043456e-08	2.561067	-0.017595867	-2.3041155	6.067909	0.0075672804	0.1264	79.0	640.295357465744
104	-83.96542	64.47753	6.632234	-157.51733	832.0	-8.379868	5.317745	2.5608242	-21.72407	525000	6.1035155e-09	1.4626571	-0.016708925	-0.968606	5.989834	0.010439951	0.1274	79.0	646.3397281169891
105	-77.30253	37.98068	-33.55749	-128.45883	1000.0	-7.394614	4.065023	4.0169578	-17.154654	530000	-6.1035155e-09	0.78960705	-0.019959455	-0.5573811	5.994351	0.010243367	0.1462	79.0	652.5893046855927
106	-71.73461	68.41911	8.620374	-177.74245	734.5	-9.821099	6.6592855	10.042361	-26.200445	535000	7.629395e-09	1.1912512	-0.017161604	-0.71172625	6.01231	0.0077421027	0.1224	79.0	658.7927370071411
107	-104.621185	85.14275	7.6135645	-196.31206	727.8333	-12.440323	6.700246	7.0248747	-28.529766	540000	-1.8310548e-08	1.3782233	-0.016247336	-0.7357785	5.981022	0.0066237524	0.1134	79.0	664.8104708194733
108	-118.53694	55.856476	-49.151745	-186.61227	1000.0	-11.145183	5.634032	-3.8244119	-25.89251	545000	3.8146972e-08	0.43573856	-0.009819334	-0.18633476	6.03084	0.014212619	0.1554	29.0	670.8833978176117
109	-116.04576	75.67944	-32.69633	-245.53357	1000.0	-11.201241	7.3604455	1.0733948	-25.893988	550000	9.155274e-09	0.5453526	-0.017244022	-0.353478	5.9990287	0.011709105	0.11	79.0	677.0915713310242
110	-67.863655	69.215164	3.951011	-158.61377	976.0	-5.9179797	8.043622	8.84547	-25.718866	555000	1.2207031e-08	4.7610064	-0.013737219	-4.3355474	6.0111904	0.0030781294	0.1016	79.0	683.5044345855713
111	-113.09479	72.663124	9.18483	-187.35703	838.4	-13.52965	5.2280226	6.35045	-23.366781	560000	3.5858154e-08	1.4313093	-0.015087795	-0.8977634	6.0181217	0.0076272995	0.107	79.0	689.5124080181122
112	-155.50104	75.085106	-38.44305	-255.04997	1000.0	-14.910438	7.3157654	-1.2285103	-25.639162	565000	-7.93457e-08	0.9032799	-0.011698065	-0.67859894	5.8952174	0.01013388	0.1536	79.0	695.6667926311493
113	-72.16123	75.55307	7.279202	-204.40967	823.6	-8.804792	6.580642	7.5367613	-26.86052	570000	-9.155274e-09	1.5119525	-0.015360553	-1.2513037	5.921243	0.00837536	0.1022	79.0	701.6659305095673
114	-174.84221	90.25642	-30.099552	-274.33603	1000.0	-17.152687	8.861451	2.1786587	-29.236872	575000	-9.155274e-09	0.25836045	0.00094192196	-0.19691986	5.789999	0.017859109	0.2306	4.0	707.5205898284912
115	-117.17285	86.022835	6.321678	-223.30199	832.0	-13.642737	6.536548	-1.4896082	-22.848661	580000	-3.6621095e-08	1.7478642	0.0050832233	-1.659421	5.797539	0.049672987	0.4224	1.0	713.2499389648438
