Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-211.6506	60.801014	-142.15704	-301.53165	1000.0	3.1072202	2.004267	6.616987	1.5148051	4000	-5.722046e-09	555.83124	4.445362e-05	-152.8609	7.36241	0.009970826	0.09275	1.0	6.3281409740448
1	-231.59483	78.51967	-96.53217	-291.61136	1000.0	-0.07823563	0.0	-0.07823563	-0.07823563	8000	-1.4805794e-07	505.93542	-0.0068114656	-3.4735413	7.3344464	0.0057677403	0.045	79.0	11.608604669570923
2	-150.91011	56.031845	-85.16341	-210.70793	1000.0	-0.16191925	0.0	-0.16191925	-0.16191925	12000	-1.1992455e-07	216.43709	-0.008326231	-1.6257477	7.4396033	0.007828848	0.06875	79.0	16.789811611175537
3	-105.42566	78.90479	-54.81018	-241.89043	1000.0	-0.22248816	4.4703484e-08	-0.22248812	-0.22248812	16000	-4.005432e-08	143.61682	-0.0059804525	-0.85835266	7.287484	0.0039143357	0.05175	79.0	21.997293949127197
4	-202.4747	94.78485	-57.190845	-290.39975	1000.0	-0.2687611	0.0	-0.2687611	-0.2687611	20000	-7.05719e-08	416.06668	-0.008134347	-3.00766	7.2658563	0.008489765	0.0735	79.0	27.232263803482056
5	-102.4236	37.707348	-69.21845	-166.2782	1000.0	-0.3525186	5.9604645e-08	-0.35251865	-0.35251865	24000	-1.2636184e-07	95.43133	-0.0073897336	-0.88973236	7.320972	0.0060290876	0.05625	79.0	32.60465860366821
6	-78.04463	31.295708	-49.587803	-129.81519	1000.0	-0.40257934	0.0	-0.40257934	-0.40257934	28000	3.9577483e-08	54.94991	-0.0057857297	-0.5019264	7.2645593	0.008997306	0.089	79.0	38.1004478931427
7	-173.83537	48.15811	-96.93607	-220.71167	1000.0	-0.4403318	0.0	-0.4403318	-0.4403318	32000	2.9730796e-07	263.90417	-0.004848386	-2.4500122	7.1459804	0.0074705034	0.04975	79.0	43.309022426605225
8	-202.97803	41.79269	-135.30434	-249.57713	1000.0	-0.52081203	5.9604645e-08	-0.520812	-0.520812	36000	-7.629395e-09	347.754	-0.005201418	-3.411255	7.178529	0.00655848	0.0475	79.0	48.517332315444946
9	-183.39613	71.047386	-114.3991	-301.1042	1000.0	-0.6168014	1.1920929e-07	-0.6168015	-0.6168015	40000	-1.0299683e-07	310.23975	-0.0061379434	-2.7541199	7.1277623	0.0050613163	0.056	79.0	53.675238847732544
10	-127.66459	73.42024	-52.66512	-213.2026	1000.0	-0.7032805	1.1920929e-07	-0.7032806	-0.7032806	44000	-1.13487246e-07	169.80698	-0.0074190814	-1.3412018	7.1489882	0.0071055717	0.0585	79.0	59.23464751243591
11	-90.827484	61.77509	9.45805	-159.42146	791.75	-0.76513124	0.0001530332	-0.761783	-0.7651433	48000	1.335144e-07	104.79061	-0.0077161277	-1.0658722	7.266509	0.010709634	0.1045	79.0	64.28820323944092
12	-199.85385	106.70732	-22.711014	-293.7859	1000.0	-0.8021653	0.054408252	-0.40561822	-0.8178687	52000	9.441376e-08	409.56348	-0.00678735	-3.2129211	7.267501	0.008245694	0.06275	79.0	69.49471092224121
13	-113.999695	99.33341	-9.368367	-226.17683	1000.0	-0.90958375	0.0029235897	-0.83524907	-0.90985715	56000	-1.7166137e-08	177.66565	-0.0067411973	-1.0962372	7.3329186	0.0063187922	0.053	79.0	74.83300518989563
14	-127.759445	67.14026	-52.97909	-200.1164	1000.0	-0.9678118	0.0014132395	-0.94755566	-0.96803004	60000	-1.3351441e-08	156.9234	-0.007932992	-1.2947693	7.3656826	0.00792609	0.072	79.0	80.10907196998596
15	-155.03372	124.28201	-20.236118	-301.62994	1000.0	-1.0244112	0.014964475	-0.8191586	-1.0289744	64000	-2.0742416e-08	309.77997	-0.005407088	-1.9631653	7.3593698	0.0060970383	0.05125	79.0	85.38764119148254
16	-212.3249	87.48116	-67.1143	-300.44324	1000.0	-1.104129	1.1920929e-07	-1.1041291	-1.1041291	68000	-6.484986e-08	409.906	-0.007068137	-3.6679993	7.29552	0.006928254	0.06925	79.0	90.69541120529175
17	-134.04205	52.919918	-83.686424	-221.3334	1000.0	-1.2055453	1.1920929e-07	-1.2055452	-1.2055452	72000	-1.5449524e-07	150.5794	-0.007172058	-1.4798126	7.2207975	0.009162561	0.06	79.0	95.878089427948
18	-161.92981	58.4086	-115.18184	-260.6002	1000.0	-1.273063	1.1920929e-07	-1.2730631	-1.2730631	76000	1.7642975e-08	218.40887	-0.0053050867	-2.0435333	7.2777085	0.0043348405	0.05075	79.0	101.01517462730408
19	-212.2779	115.8941	-12.785062	-293.76993	1000.0	-1.3493272	1.1920929e-07	-1.3493271	-1.3493271	80000	7.9154965e-08	450.67706	-0.007794077	-3.5470886	7.309343	0.011622114	0.06875	79.0	106.17954158782959
20	-192.00613	88.38302	-94.52381	-288.15115	1000.0	-1.4486256	2.3841858e-07	-1.4486258	-1.4486258	84000	-1.3566017e-07	334.755	-0.01018269	-2.8862	7.2420673	0.013088661	0.087	79.0	111.89188575744629
21	-145.48878	81.20771	-53.95125	-254.558	1000.0	-1.5391198	0.0	-1.5391198	-1.5391198	88000	9.346008e-08	200.25906	-0.005762131	-1.5961456	7.2467465	0.004739358	0.05025	79.0	117.05582904815674
22	-151.9314	97.77764	-28.181494	-299.65002	1000.0	-1.6073879	3.5762787e-07	-1.6073883	-1.6073883	92000	-1.2397766e-08	238.36517	-0.010283965	-1.6862793	7.32071	0.012111456	0.08275	79.0	122.28410720825195
23	-155.69398	65.39191	-52.79401	-231.94673	1000.0	-1.6764932	3.5762787e-07	-1.6764935	-1.6764935	96000	-8.296966e-08	200.68234	-0.008382313	-1.787323	7.392848	0.008265187	0.0825	79.0	127.50710391998291
24	-170.93048	67.66381	-100.08943	-272.08017	1000.0	-1.7480907	1.1920929e-07	-1.7480906	-1.7480906	100000	-4.2915342e-09	239.45877	-0.006273402	-2.1731567	7.249821	0.004145152	0.0495	79.0	132.68056344985962
25	-232.69833	33.98844	-175.51584	-259.83563	1000.0	-1.8269006	3.5762787e-07	-1.826901	-1.826901	104000	6.9618224e-08	401.07794	-0.007935872	-4.0657654	7.209457	0.00550139	0.0605	79.0	137.8816978931427
26	-186.99927	76.02974	-68.64782	-274.12723	1000.0	-1.9324247	3.5762787e-07	-1.932425	-1.932425	108000	1.4925003e-07	288.5188	-0.00633775	-2.5939941	7.220784	0.006960351	0.07225	79.0	143.08537912368774
27	-160.34964	42.29443	-104.43188	-223.0716	1000.0	-2.01853	2.3841858e-07	-2.0185297	-2.0185297	112000	-8.773804e-08	182.45018	-0.0058045085	-1.8026886	7.1296415	0.008280951	0.04775	79.0	148.446218252182
